date,oil,copper,沪深300指数,恒生指数,恒生科技指数
1990/1/2,#N/A,2375.49,#N/A,2838.1,#N/A
1990/1/3,#N/A,2421.63,#N/A,2858.7,#N/A
1990/1/4,#N/A,2523.24,#N/A,2868,#N/A
1990/1/5,#N/A,2518.18,#N/A,2839.9,#N/A
1990/1/8,#N/A,2531.17,#N/A,2816,#N/A
1990/1/9,#N/A,2557.19,#N/A,2822,#N/A
1990/1/10,#N/A,2513.4,#N/A,2868,#N/A
1990/1/11,#N/A,2496.35,#N/A,2855,#N/A
1990/1/12,#N/A,2472.62,#N/A,2835,#N/A
1990/1/15,#N/A,2392.56,#N/A,2788.6,#N/A
1990/1/16,#N/A,2359.6,#N/A,2751.8,#N/A
1990/1/17,#N/A,2388.68,#N/A,2754.8,#N/A
1990/1/18,#N/A,2382.16,#N/A,2771.7,#N/A
1990/1/19,#N/A,2305.22,#N/A,2776.3,#N/A
1990/1/22,#N/A,2288.29,#N/A,2771.7,#N/A
1990/1/23,#N/A,2206.4,#N/A,2762.5,#N/A
1990/1/24,#N/A,2212.07,#N/A,2756.4,#N/A
1990/1/25,#N/A,2255.18,#N/A,2768.9,#N/A
1990/1/26,#N/A,2204.46,#N/A,#N/A,#N/A
1990/1/29,#N/A,2255.57,#N/A,#N/A,#N/A
1990/1/30,#N/A,2193.72,#N/A,2760.8,#N/A
1990/1/31,#N/A,2193.43,#N/A,2751.6,#N/A
1990/2/1,#N/A,2247.65,#N/A,2738.2,#N/A
1990/2/2,#N/A,2261.62,#N/A,2736.6,#N/A
1990/2/5,#N/A,2269.61,#N/A,2756.6,#N/A
1990/2/6,#N/A,2240.22,#N/A,2792,#N/A
1990/2/7,#N/A,2249.93,#N/A,2844.8,#N/A
1990/2/8,#N/A,2267.06,#N/A,2903.8,#N/A
1990/2/9,#N/A,2325.81,#N/A,2893.9,#N/A
1990/2/12,#N/A,2328.93,#N/A,2894.7,#N/A
1990/2/13,#N/A,2250.81,#N/A,2863.6,#N/A
1990/2/14,#N/A,2319.85,#N/A,2870.4,#N/A
1990/2/15,#N/A,2364.72,#N/A,2910,#N/A
1990/2/16,#N/A,2429.91,#N/A,2939.3,#N/A
1990/2/19,#N/A,2450.88,#N/A,2968,#N/A
1990/2/20,#N/A,2471.78,#N/A,2980,#N/A
1990/2/21,#N/A,2422.59,#N/A,2862.3,#N/A
1990/2/22,#N/A,2498.16,#N/A,2927.9,#N/A
1990/2/23,#N/A,2458.1,#N/A,2894.3,#N/A
1990/2/26,#N/A,2430.43,#N/A,2872.6,#N/A
1990/2/27,#N/A,2454.37,#N/A,2932.6,#N/A
1990/2/28,#N/A,2460.64,#N/A,2952,#N/A
1990/3/1,#N/A,2488.43,#N/A,2933.1,#N/A
1990/3/2,#N/A,2505.46,#N/A,2937,#N/A
1990/3/5,#N/A,2575.65,#N/A,2938,#N/A
1990/3/6,#N/A,2646.65,#N/A,2933,#N/A
1990/3/7,#N/A,2599.45,#N/A,2926,#N/A
1990/3/8,#N/A,2579.51,#N/A,2915,#N/A
1990/3/9,#N/A,2644.63,#N/A,2912,#N/A
1990/3/12,#N/A,2598.54,#N/A,2892,#N/A
1990/3/13,#N/A,2595.2,#N/A,2887,#N/A
1990/3/14,#N/A,2599.82,#N/A,2881,#N/A
1990/3/15,#N/A,2705.42,#N/A,2892,#N/A
1990/3/16,#N/A,2726.3,#N/A,2886,#N/A
1990/3/19,#N/A,2710.54,#N/A,2871,#N/A
1990/3/20,#N/A,2638.79,#N/A,2880,#N/A
1990/3/21,#N/A,2661.37,#N/A,2926,#N/A
1990/3/22,#N/A,2714.45,#N/A,2948,#N/A
1990/3/23,#N/A,2628.97,#N/A,2974,#N/A
1990/3/26,#N/A,2595.63,#N/A,3014,#N/A
1990/3/27,#N/A,2623.56,#N/A,3010,#N/A
1990/3/28,#N/A,2540.39,#N/A,2990,#N/A
1990/3/29,#N/A,2656.57,#N/A,3000,#N/A
1990/3/30,#N/A,2684.98,#N/A,2997,#N/A
1990/4/2,#N/A,2827.7,#N/A,2934,#N/A
1990/4/3,#N/A,2757.4,#N/A,2962,#N/A
1990/4/4,#N/A,2777.87,#N/A,2960,#N/A
1990/4/5,#N/A,2681.39,#N/A,#N/A,#N/A
1990/4/6,#N/A,2687.47,#N/A,2956,#N/A
1990/4/9,#N/A,2699.43,#N/A,2954,#N/A
1990/4/10,#N/A,2646.58,#N/A,2942,#N/A
1990/4/11,#N/A,2632.09,#N/A,2959,#N/A
1990/4/12,#N/A,2816.89,#N/A,2995,#N/A
1990/4/17,#N/A,2726.1,#N/A,3020,#N/A
1990/4/18,#N/A,2683.04,#N/A,3052,#N/A
1990/4/19,#N/A,2657.57,#N/A,3067,#N/A
1990/4/20,#N/A,2606.99,#N/A,3067,#N/A
1990/4/23,#N/A,2620.07,#N/A,3056,#N/A
1990/4/24,#N/A,2592.74,#N/A,3015,#N/A
1990/4/25,#N/A,2696.14,#N/A,3018,#N/A
1990/4/26,#N/A,2685.46,#N/A,3009,#N/A
1990/4/27,#N/A,2658.18,#N/A,2986,#N/A
1990/4/30,#N/A,2587.25,#N/A,2950.09,#N/A
1990/5/1,#N/A,2707.61,#N/A,2945,#N/A
1990/5/2,#N/A,2803.75,#N/A,2957,#N/A
1990/5/3,#N/A,2833.23,#N/A,2954,#N/A
1990/5/4,#N/A,2783.8,#N/A,2946,#N/A
1990/5/8,#N/A,2705.45,#N/A,2953,#N/A
1990/5/9,#N/A,2876.91,#N/A,2942,#N/A
1990/5/10,#N/A,2944.73,#N/A,2985,#N/A
1990/5/11,#N/A,2847.61,#N/A,2960,#N/A
1990/5/14,#N/A,2849.3,#N/A,2976,#N/A
1990/5/15,#N/A,2699.17,#N/A,2965,#N/A
1990/5/16,#N/A,2660.04,#N/A,2948,#N/A
1990/5/17,#N/A,2727.98,#N/A,2917,#N/A
1990/5/18,#N/A,2690.48,#N/A,2925,#N/A
1990/5/21,#N/A,2651.49,#N/A,2930,#N/A
1990/5/22,#N/A,2712.36,#N/A,2970,#N/A
1990/5/23,#N/A,2713.97,#N/A,3028,#N/A
1990/5/24,#N/A,2695.04,#N/A,3048,#N/A
1990/5/25,#N/A,2699.02,#N/A,3059,#N/A
1990/5/29,#N/A,2699.34,#N/A,3048,#N/A
1990/5/30,#N/A,2595.37,#N/A,3083,#N/A
1990/5/31,#N/A,2660.61,#N/A,3132,#N/A
1990/6/1,#N/A,2615.38,#N/A,3159,#N/A
1990/6/4,#N/A,2678.4,#N/A,3153,#N/A
1990/6/5,#N/A,2654.2,#N/A,3159,#N/A
1990/6/6,#N/A,2620.69,#N/A,3172,#N/A
1990/6/7,#N/A,2598.75,#N/A,3145,#N/A
1990/6/8,#N/A,2609.43,#N/A,3174,#N/A
1990/6/11,#N/A,2585.56,#N/A,3154,#N/A
1990/6/12,#N/A,2625.56,#N/A,3203,#N/A
1990/6/13,#N/A,2557.62,#N/A,3184,#N/A
1990/6/14,#N/A,2538.53,#N/A,3191,#N/A
1990/6/15,#N/A,2568.12,#N/A,3201,#N/A
1990/6/18,#N/A,2584.51,#N/A,#N/A,#N/A
1990/6/19,#N/A,2623,#N/A,3229,#N/A
1990/6/20,#N/A,2530.12,#N/A,3234,#N/A
1990/6/21,#N/A,2544.62,#N/A,3246,#N/A
1990/6/22,#N/A,2550.53,#N/A,3250,#N/A
1990/6/25,#N/A,2538.91,#N/A,3276,#N/A
1990/6/26,#N/A,2498.4,#N/A,3292,#N/A
1990/6/27,#N/A,2526.92,#N/A,3284,#N/A
1990/6/28,#N/A,2546.17,#N/A,3273,#N/A
1990/6/29,#N/A,2623.97,#N/A,3278,#N/A
1990/7/2,#N/A,2642.51,#N/A,3319,#N/A
1990/7/3,#N/A,2670.08,#N/A,3356,#N/A
1990/7/4,#N/A,2639.28,#N/A,3363,#N/A
1990/7/5,#N/A,2643,#N/A,3356,#N/A
1990/7/6,#N/A,2735.33,#N/A,3357,#N/A
1990/7/9,#N/A,2811.72,#N/A,3385,#N/A
1990/7/10,#N/A,2807.03,#N/A,3408,#N/A
1990/7/11,#N/A,2808.48,#N/A,3440,#N/A
1990/7/12,#N/A,2875,#N/A,3468,#N/A
1990/7/13,#N/A,2885.78,#N/A,3507,#N/A
1990/7/16,#N/A,2782.03,#N/A,3488,#N/A
1990/7/17,#N/A,2781.7,#N/A,3463,#N/A
1990/7/18,#N/A,2731.82,#N/A,3528,#N/A
1990/7/19,#N/A,2730.82,#N/A,3523,#N/A
1990/7/20,#N/A,2690.94,#N/A,3540,#N/A
1990/7/23,#N/A,2762.76,#N/A,3559,#N/A
1990/7/24,#N/A,2705.73,#N/A,3495,#N/A
1990/7/25,#N/A,2728.88,#N/A,3520,#N/A
1990/7/26,#N/A,2792.83,#N/A,3483,#N/A
1990/7/27,#N/A,2886.98,#N/A,3485,#N/A
1990/7/30,#N/A,2885.08,#N/A,3445,#N/A
1990/7/31,#N/A,2866.89,#N/A,3438,#N/A
1990/8/1,#N/A,2850.37,#N/A,3468,#N/A
1990/8/2,#N/A,2922.21,#N/A,3415,#N/A
1990/8/3,#N/A,2867.06,#N/A,3356,#N/A
1990/8/6,#N/A,2851.47,#N/A,3107,#N/A
1990/8/7,#N/A,2903.06,#N/A,3098,#N/A
1990/8/8,#N/A,2900.85,#N/A,3145,#N/A
1990/8/9,#N/A,3094.52,#N/A,3091,#N/A
1990/8/10,#N/A,3008.89,#N/A,3078,#N/A
1990/8/13,#N/A,3006.39,#N/A,3040,#N/A
1990/8/14,#N/A,2952.3,#N/A,3067,#N/A
1990/8/15,#N/A,2942.75,#N/A,3178,#N/A
1990/8/16,#N/A,3027.61,#N/A,3183,#N/A
1990/8/17,#N/A,3008.21,#N/A,3122,#N/A
1990/8/20,#N/A,2988.84,#N/A,3052,#N/A
1990/8/21,#N/A,2961.8,#N/A,3040,#N/A
1990/8/22,#N/A,2947.55,#N/A,2954,#N/A
1990/8/23,#N/A,2889.9,#N/A,2871,#N/A
1990/8/24,#N/A,2986.34,#N/A,2918,#N/A
1990/8/28,#N/A,2993.31,#N/A,3078,#N/A
1990/8/29,#N/A,2920.95,#N/A,3015,#N/A
1990/8/30,#N/A,2978.33,#N/A,3064,#N/A
1990/8/31,#N/A,2961.31,#N/A,3087,#N/A
1990/9/3,#N/A,2956.97,#N/A,3066,#N/A
1990/9/4,#N/A,2919.99,#N/A,3054,#N/A
1990/9/5,#N/A,2900.12,#N/A,3039,#N/A
1990/9/6,#N/A,2965.39,#N/A,3032,#N/A
1990/9/7,#N/A,3056.39,#N/A,3047,#N/A
1990/9/10,#N/A,3205.18,#N/A,3087,#N/A
1990/9/11,#N/A,3241.2,#N/A,3083,#N/A
1990/9/12,#N/A,3383.16,#N/A,3105,#N/A
1990/9/13,#N/A,3350.45,#N/A,3093,#N/A
1990/9/14,#N/A,3209.72,#N/A,3062,#N/A
1990/9/17,#N/A,3387.34,#N/A,3019,#N/A
1990/9/18,#N/A,3087.18,#N/A,2996,#N/A
1990/9/19,#N/A,2925.19,#N/A,2980,#N/A
1990/9/20,#N/A,2979.46,#N/A,2984,#N/A
1990/9/21,#N/A,2868.98,#N/A,2931,#N/A
1990/9/24,#N/A,2819.32,#N/A,2861,#N/A
1990/9/25,#N/A,2744.59,#N/A,2807,#N/A
1990/9/26,#N/A,2810.59,#N/A,2778,#N/A
1990/9/27,#N/A,2883.42,#N/A,2767,#N/A
1990/9/28,#N/A,2900.05,#N/A,2760,#N/A
1990/10/1,#N/A,2782.91,#N/A,2791,#N/A
1990/10/2,#N/A,2823.82,#N/A,2905,#N/A
1990/10/3,#N/A,2820.02,#N/A,2862,#N/A
